Date,Close/Last,Open,High,Low
04/18/2024,15601.50,15705.69,15786.12,15587.50
04/17/2024,15683.37,15942.29,15957.03,15654.51
04/16/2024,15865.25,15856.38,15965.79,15822.02
04/15/2024,15885.02,16276.47,16295.27,15863.88
04/12/2024,16175.09,16293.03,16341.45,16125.33
04/11/2024,16442.20,16236.20,16464.60,16154.65
04/10/2024,16170.36,16104.01,16200.10,16092.02
04/09/2024,16306.64,16328.76,16348.18,16141.15
04/08/2024,16253.96,16285.18,16323.60,16220.72
04/05/2024,16248.52,16095.40,16326.50,16080.48
04/04/2024,16049.08,16418.57,16468.04,16046.56
04/03/2024,16277.46,16178.80,16340.74,16169.31
04/02/2024,16240.45,16199.24,16251.41,16137.24
04/01/2024,16396.83,16397.05,16490.65,16327.89
03/28/2024,16379.46,16377.23,16420.92,16347.38
03/27/2024,16399.52,16424.76,16431.82,16279.17
03/26/2024,16315.70,16446.85,16476.38,16312.95
03/25/2024,16384.47,16335.30,16441.17,16315.72
03/22/2024,16428.82,16387.83,16467.62,16361.00
03/21/2024,16401.84,16517.24,16538.86,16393.90
03/20/2024,16369.41,16185.76,16377.44,16127.48
03/19/2024,16166.79,16031.93,16175.59,15951.86
03/18/2024,16103.45,16154.92,16247.59,16094.17
03/15/2024,15973.17,16043.58,16055.33,15925.91
03/14/2024,16128.53,16209.19,16245.32,16039.68
03/13/2024,16177.77,16220.11,16233.30,16143.34
03/12/2024,16265.64,16116.98,16275.45,15992.98
03/11/2024,16019.27,16052.63,16085.95,15978.04
03/08/2024,16085.11,16322.10,16449.70,16059.50
03/07/2024,16273.38,16147.32,16309.02,16096.01
03/06/2024,16031.54,16092.00,16128.56,15956.66
03/05/2024,15939.59,16077.74,16087.56,15862.63
03/04/2024,16207.51,16264.21,16289.06,16199.06
03/01/2024,16274.94,16109.83,16302.24,16096.60
02/29/2024,16091.92,16059.34,16115.96,15931.70
02/28/2024,15947.74,15969.14,16003.56,15924.72
02/27/2024,16035.30,16013.98,16046.10,15940.51
02/26/2024,15976.25,16014.45,16054.90,15973.90
02/23/2024,15996.82,16094.80,16134.22,15954.50
02/22/2024,16041.62,15904.48,16061.82,15869.24
02/21/2024,15580.87,15532.12,15583.68,15451.65
02/20/2024,15630.78,15679.84,15730.47,15508.50
02/16/2024,15775.65,15910.43,15917.41,15752.02
02/15/2024,15906.17,15865.30,15911.22,15779.72
02/14/2024,15859.15,15781.71,15865.51,15683.94
02/13/2024,15655.60,15598.88,15770.42,15551.44
02/12/2024,15942.55,15980.62,16080.07,15917.87
02/09/2024,15990.66,15842.38,16007.29,15831.76
02/08/2024,15793.71,15762.23,15813.27,15739.18
02/07/2024,15756.64,15690.35,15770.68,15645.81
02/06/2024,15609.00,15638.19,15652.75,15515.25
02/05/2024,15597.68,15613.99,15637.88,15471.68
02/02/2024,15628.95,15403.16,15664.21,15366.78
02/01/2024,15361.64,15254.02,15372.13,15208.88
01/31/2024,15164.01,15324.19,15405.55,15158.49
01/30/2024,15509.90,15628.04,15619.23,15484.67
01/29/2024,15628.04,15470.66,15630.58,15449.87
01/26/2024,15455.36,15474.85,15538.84,15433.04
01/25/2024,15510.50,15555.62,15597.25,15430.68
01/24/2024,15481.92,15560.61,15629.07,15468.91
01/23/2024,15425.94,15391.41,15432.35,15337.23
01/22/2024,15360.29,15393.05,15438.85,15333.63
01/19/2024,15310.97,15122.38,15310.97,15087.20
01/18/2024,15055.65,14994.52,15066.81,14911.11
01/17/2024,14855.62,14814.77,14865.76,14706.23
01/16/2024,14944.35,14908.26,15004.35,14863.81
01/12/2024,14972.76,15001.01,15047.25,14931.88
01/11/2024,14970.18,15020.95,15063.61,14800.38
01/10/2024,14969.65,14877.70,14998.20,14842.70
01/09/2024,14857.71,14744.13,14894.32,14716.71
01/08/2024,14843.77,14564.47,14846.90,14560.20
01/05/2024,14524.07,14500.11,14625.19,14477.57
01/04/2024,14510.30,14532.23,14632.77,14504.78
01/03/2024,14592.21,14641.47,14694.58,14577.44
01/02/2024,14765.94,14873.70,14887.80,14682.38
